FID_Kern_fields,TNC,Kitfox,Krat,Corridors,CPAD
10366,0,100,0,0,100
10381,100,100,100,0,100
10383,0,100,100,0,100
10404,0,100,100,0,0
10412,0,100,100,0,100
10426,100,100,100,0,100
10428,0,100,100,0,0
10449,0,100,100,0,100
10482,0,100,100,0,100
10483,100,100,100,0,100
10491,0,100,100,0,100
10495,0,100,100,0,100
10511,0,100,100,0,100
10518,0,100,100,0,0
10522,100,100,100,0,100
10558,0,100,100,100,68
10564,0,100,100,0,100
10570,0,100,100,0,100
10577,0,100,100,0,100
10625,0,100,100,0,100
10653,0,100,100,0,91.33333333
10677,0,100,100,0,100
10728,0,100,100,0,100
10738,0,100,100,0,100
10745,0,100,0,0,23.5
10770,0,100,100,0,22
10777,0,100,100,0,100
10781,0,100,100,0,100
10830,0,100,100,0,100
10834,0,100,0,0,0
10835,31.5,100,100,0,0
10845,100,100,100,0,100
10857,0,100,100,0,100
10860,100,100,100,0,100
10883,0,100,100,0,0
10955,0,100,100,0,0
10971,0,100,100,0,100
10988,0,100,100,0,100
10990,0,100,100,0,74
11006,0,100,90.25,0,0
11028,0,100,100,1,100
11040,0,100,100,0,100
11047,100,100,100,0,100
11143,0,100,100,0,100
11145,0,100,100,0,100
11150,0,100,0,0,65
11164,100,100,100,100,100
11175,0,100,100,0,0
11196,0,100,100,0,0
11197,0,100,1,0,0
11210,0,100,100,0,100
11212,43.5,100,100,0,100
11236,0,100,100,0,100
11240,0,100,100,0,27.66666667
11250,0,100,100,0,0
11283,0,100,45.5,0,0
11300,0,100,100,0,0
11304,0,100,100,0,100
11321,0,100,100,0,100
11325,0,100,100,0,100
11366,0,100,100,0,0
11382,0,100,100,0,100
11426,0,100,100,0,0
11464,0,100,100,0,100
11468,0,100,100,0,0
11515,0,100,100,0,100
11519,0,100,100,0,0
11529,0,100,100,0,100
11534,0,100,100,0,0
11552,0,100,100,0,0
11555,100,100,100,0,100
11571,0,100,100,0,100
11587,0,100,100,0,100
11592,63,100,100,0,100
11604,100,100,100,0,100
11634,0,100,100,0,100
11636,0,100,100,0,100
11640,100,100,100,0,100
11649,100,100,100,0,100
11652,0,100,100,99,100
11681,0,100,100,0,0
11684,0,100,100,0,100
11685,0,100,100,0,100
11688,0,100,100,0,100
11735,43.66666667,100,100,0,100
11767,0,100,100,41,100
11773,0,100,100,0,100
11779,0,100,100,0,0
11785,0,100,100,0,100
11806,0,100,0,0,100
11818,0,100,100,0,100
11839,0,100,100,0,100
11908,0,100,100,0,100
11919,0,100,100,0,100
11943,0,100,100,0,100
11948,0,100,24.66666667,0,0
11953,0,100,100,0,0
11980,100,100,100,0,100
11984,0,100,100,0,100
12011,0,100,100,0,0
12016,0,100,0,100,100
12050,0,100,99,0,52
12053,0,100,100,0,100
12055,0,100,100,0,100
12057,0,100,100,0,0
12058,4,100,100,0,100
12070,1,100,100,0,100
12088,100,100,0,0,0
12089,0,100,100,0,100
12096,0,100,100,0,100
12119,100,100,100,0,100
12138,0,100,0,0,100
12139,0,100,100,0,100
12141,0,100,100,0,0
12152,0,100,100,0,100
12165,0,100,100,0,100
12202,0,100,100,100,100
12207,0,100,100,48.5,100
12220,0,100,100,0,0
12222,0,100,100,0,100
12224,100,100,100,0,100
12249,0,100,100,0,100
12254,0,100,94,0,0
12265,0,100,100,0,0
12293,82.5,100,100,0,0
12304,0,100,0,0,0
12317,0,100,100,0,100
12342,100,100,100,0,100
12344,0,100,100,0,100
12348,100,100,100,0,100
12392,0,100,100,0,0
12399,0,100,100,0,100
12440,0,100,0,0,100
12443,0,100,100,0,100
12453,0,100,100,0,0
12492,0,100,100,0,100
12493,1.5,100,100,0,100
12521,0,100,100,0,0
12527,0,100,0,100,100
12533,0,100,100,0,100
12552,0,100,100,0,0
12554,0,100,100,0,100
12573,0,100,100,0,100
12585,0,100,100,0,100
12631,0,100,100,0,0
12644,100,100,100,0,100
12647,0,100,100,0,100
12650,0,100,100,0,100
12682,0,100,100,0,100
12696,0,100,100,0,0
12707,0,100,100,0,62
12753,0,100,100,0,100
12856,0,100,100,0,0
12869,0,100,100,0,0
12897,0,100,100,0,100
